"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"109",2.20379754343486,2,0.5,0.675,0.710663905324332,0.85713598459106,0.854854834142689
"110",1.90693940178649,2,0.5,0.7,0.678874311224114,0.85983551751392,0.854750619287522
"111",1.6729118528206,2,0.5,0.725,0.632182791300524,0.863356009945533,0.85366630636205
"112",1.4826022185056,2,0.5,0.75,0.569056453974145,0.867734362882064,0.852080819112402
"113",1.32377562678085,2,0.5,0.775,0.485600447198432,0.872939790019667,0.8505993561485
"114",1.18818294989389,2,0.5,0.8,0.376139056891927,0.87886622241547,0.84990022946584
"115",1.06998872076887,2,0.5,0.825,0.226951127397597,0.884885583777782,0.850244598741058
"116",0.964847341022481,2,0.5,0.85,0.0593616616956069,0.890359581345486,0.855461509383926
"117",0.869301115868934,2,0.5,0.875,0,NA,0.875671964338774
"118",0.780304146072379,2,0.5,0.9,0,NA,0.901790206923939
"119",0.69467046757101,2,0.5,0.925,0,NA,0.928092029443839
"120",0.607956831911769,2,0.5,0.95,0,NA,0.954146617018183
"121",3.94715387554275,3,0.5,0.6,0.929454666450946,0.851784971979278,0.823564408287163
"122",3.13834420066129,3,0.5,0.625,0.9245206796296,0.853775061631688,0.824739085805072
"123",2.59524236883453,3,0.5,0.65,0.910352425684801,0.856757710393321,0.82326910494475
"124",2.20379754343486,3,0.5,0.675,0.888349458774386,0.860783903752597,0.820792747639861
"125",1.90693940178649,3,0.5,0.7,0.854667438016386,0.865792767792006,0.817587607827349
"126",1.6729118528206,3,0.5,0.725,0.805723894696093,0.871781776392339,0.81475590788027
"127",1.4826022185056,3,0.5,0.75,0.721665225377214,0.878460456440899,0.811437074814303
"128",1.32377562678085,3,0.5,0.775,0.557465816651022,0.885419295102649,0.808798995514881
"129",1.18818294989389,3,0.5,0.8,0.152505987095123,0.891559280511675,0.806358223275749
"130",1.06998872076887,3,0.5,0.825,0,NA,0.828258024576802
"131",0.964847341022481,3,0.5,0.85,0,NA,0.855016005775882
"132",0.869301115868934,3,0.5,0.875,0,NA,0.881745871884686
"133",0.780304146072379,3,0.5,0.9,0,NA,0.908210030223258
"134",0.69467046757101,3,0.5,0.925,0,NA,0.934107789048778
"135",0.607956831911769,3,0.5,0.95,0,NA,0.958992033415872
"136",3.94715387554275,4,0.5,0.6,0.98767901828303,0.850451715459391,0.808043306878394
"137",3.13834420066129,4,0.5,0.625,0.984375811826421,0.853453109209043,0.80647622925203
"138",2.59524236883453,4,0.5,0.65,0.979702872845829,0.857628656553166,0.804189867692751
"139",2.20379754343486,4,0.5,0.675,0.972159693725839,0.862931710037313,0.801222675182638
"140",1.90693940178649,4,0.5,0.7,0.959075788778055,0.869283562745249,0.797877967836206
"141",1.6729118528206,4,0.5,0.725,0.928142963312042,0.876458001638565,0.794795035714782
"142",1.4826022185056,4,0.5,0.75,0.843509671483526,0.884158596287354,0.791883166237628
"143",1.32377562678085,4,0.5,0.775,0.515685901561504,0.892421842644545,0.789874103517604
"144",1.18818294989389,4,0.5,0.8,0,NA,0.806322356397269
"145",1.06998872076887,4,0.5,0.825,0,NA,0.833398993716368
"146",0.964847341022481,4,0.5,0.85,0,NA,0.860311135396931
"147",0.869301115868934,4,0.5,0.875,0,NA,0.886875494401744
"148",0.780304146072379,4,0.5,0.9,0,NA,0.912874284037365
"149",0.69467046757101,4,0.5,0.925,0,NA,0.938017275457063
"150",0.607956831911769,4,0.5,0.95,0,NA,0.961860194604178
"151",3.94715387554275,1,0.8,0.6,0.105312652429223,0.887648841383358,0.931048809889556
