"","ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"199","hadeyd",0.79,0,2.06,0.79,0.98,7900,2.925,1.66754907833491,1.45295019984759,0.871308808073221
"200","hblyif",0.82,0.6,2.07,0.99,0.94,9120,3.5,1.79703795081641,1.6413839629684,0.913383026898631
"201","hcvxup",0.85,0.06,2.83,0.87,0.959183673469388,8625,3.83571428571429,2.01410601687993,1.64588892539711,0.817180879061559
"202","hcymtv",0.63265306122449,0.255102040816327,1.80612244897959,0.673469387755102,0.96,6555,3.06071428571429,2.08423949459077,0.665823336352352,0.319456251587384
"203","hdwuou",0.69,0.87,1.3,0.96,0.9,8505,3.11785714285714,0.937968981490341,0.145246571021977,0.154852211414491
"204","hglblk",0.68,0.65,1.4,0.82,0.82,7500,2.73214285714286,1.02238436516246,0.595262111732234,0.582229278944074
"205","hhxwqj",0.68,0,2.75,0.68,0.84,6800,2.68214285714286,0.89045553512503,0.0689418979526634,0.0774231786239424
"206","hjdyci",0.680412371134021,0.0206185567010309,2.71134020618557,0.680412371134021,0.86,6690,3.175,0.897087246835646,0.975594038464443,1.08751299486836
"207","hjfxry",0.71,0.04,1.97,0.72,0.8,7180,3.43214285714286,1.5877267483104,0.903615000276368,0.569125009223383
"208","hmryhu",0.77,0.33,2.7,0.89,0.98,8555,3.58214285714286,2.4611220263268,2.27729172834162,0.925306305002867
"209","hnzvex",0.81,0.67,1.6,0.95,1,8670,3.31071428571428,1.69731153197579,0.424809281088247,0.250283623887089
"210","hoglcr",0.82,0.86,1.37,0.97,1,8715,3.74642857142857,1.80582158852048,0.431692390127592,0.239055947094574
"211","hokhfk",0.6,0.39,2.41,0.68,0.94,6380,2.43571428571428,0.70517737014693,0.703131380774835,0.997098617371019
